,user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name,response,retrieved_contexts
0,query_style,query_length,synthesizer_name,,,,,,[]
1,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer,,,,,,[]
2,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer,,,,,,[]
3,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer,,,,,,[]
4,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer,,,,,,[]
5,MISSPELLED,SHORT,single_hop_specific_query_synthesizer,,,,,,[]
6,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer,,,,,,[]
7,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer,,,,,,[]
8,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer,,,,,,[]
9,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer,,,,,,[]
10,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer,,,,,,[]
11,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer,,,,,,[]
12,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer,,,,,,[]
13,,,multi_hop_abstract_query_synthesizer,,,,,,[]
14,,,multi_hop_abstract_query_synthesizer,,,,,,[]
15,,,multi_hop_abstract_query_synthesizer,,,,,,[]
16,,,multi_hop_abstract_query_synthesizer,,,,,,[]
17,,,multi_hop_abstract_query_synthesizer,,,,,,[]
18,,,multi_hop_abstract_query_synthesizer,,,,,,[]
19,,,multi_hop_abstract_query_synthesizer,,,,,,[]
20,,,multi_hop_specific_query_synthesizer,,,,,,[]
21,,,multi_hop_specific_query_synthesizer,,,,,,[]
22,,,multi_hop_specific_query_synthesizer,,,,,,[]
23,,,multi_hop_specific_query_synthesizer,,,,,,[]
24,,,multi_hop_specific_query_synthesizer,,,,,,[]
25,,,multi_hop_specific_query_synthesizer,,,,,,[]
